plot,trt_density,trt,date_marked,date_collected,shoot,growth_days,shoot_length,shoot_width,sheath_length,sheath_width,ref_length,no_blades,repro,lf1_full,lf1_new,lf2_full,lf2_new,lf3_full,lf3_new,lf4_full,lf4_new,lf5_full,lf5_new,lf6_full,lf6_new,lf7_full,lf7_new,lf8_full,lf8_new,lf9_full,lf9_new,bblf_1,bblf_2,bblf_3,shoot_wet_wt,foil_wt,shoot_dry_wt,shoot_biomass,total_lf_ext,rgr,rgr_d,internode1,internode2,internode3,internode4,internode5,internode6,internode7,internode8,internode9,internode10,internode11,internode12,internode13,internode14,internode15,internode16,internode17,internode18,internode19,internode20,internode21,internode22,internode23
9,low,exp,05-Sep-25,16-Sep-25,2,11,105.5,0.8,29.1,0.8,7.5,5,No,72.1,49,114.2,4.3,102.7,1.4,109.6,37,49.5,0,0,0,0,0,0,0,0,0,0,0,0,,NA,2.9,,91.7,3.15,0.29,0.5,1.6,1.7,1.7,1.9,2.1,1.4,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,low,exp,05-Sep-25,16-Sep-25,1,11,91.9,0.6,19.5,0.6,8.1,6,No,25.2,25.2,70.5,46.5,84.3,20.5,77.4,2.5,12,0,18.2,0.1,0,0,0,0,0,0,0,0,0,7,1.58,,,94.8,4.86,0.44,1,1.4,1.5,1.7,1.7,2,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,high,control,05-Sep-25,16-Sep-25,1,11,113.5,0.8,25,0.8,6,6,No,21.3,21.3,67.4,40.1,107.3,25.1,94.4,1.7,81,0.6,10.5,0.4,0,0,0,0,0,0,0,0,0,12.1,2.9,4.5,1.6,89.2,3.57,0.32,1.1,1.1,1.5,1.5,1.7,2.1,1.6,1.7,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,high,control,05-Sep-25,16-Sep-25,2,11,96.5,0.8,24.3,0.7,5.2,7,No,31.1,31.1,76.2,39.5,75.5,25,75.1,1.7,69.7,0.7,72.4,0.5,71,0,0,0,0,0,0,0,0,,2.1,13.9,11.8,98.5,4.05,0.37,1.3,1.4,1.5,1.7,2.1,2.1,1.7,1.8,1.5,1.3,1.1,1,0.9,0.8,0.5,0.4,0.3,0.2,0.2,0,0,0,0
11,high,control,05-Sep-25,16-Sep-25,1,11,81.2,0.7,41.9,0.8,23.5,4,No,35,35,76.1,29.3,71.4,4.9,81.4,24.1,0,0,0,0,0,0,0,0,0,0,35,0,0,3.9,3.7,3.7,,93.3,2.23,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,high,control,05-Sep-25,16-Sep-25,2,11,68.9,0.5,17.5,0.6,5.6,4,No,41.5,35.5,63.5,23,49.6,0,57,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,,,,,58.5,3.34,0.3,1,0.9,0.8,0.9,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,high,exp,05-Sep-25,16-Sep-25,3,11,50,0.5,12,0.5,15.5,3,No,14,14,44.2,22,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.5,4.6,1.1,36,3,0.27,2,1.5,2,2,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,high,exp,05-Sep-25,16-Sep-25,1,11,58,0.5,11.5,0.7,0.3,3,No,33.7,33.3,58,29.5,52.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.7,2.1,1.4,64.8,5.63,0.51,1.5,1.5,1.5,1.5,1.5,1.7,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,high,exp,05-Sep-25,16-Sep-25,2,11,73.5,0.6,15.5,0.5,14.8,5,No,21,21,70.2,22.8,56.2,40,65.2,38,65.2,0,0,0,0,0,0,0,0,0,0,0,0,7.4,1.2,2.2,1,121.8,7.86,0.71,2,1.5,2,2,1.5,1.5,1.5,1.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,high,control,05-Sep-25,16-Sep-25,3,11,88.2,0.7,21,0.7,7.1,4,No,13.9,13.9,81.1,9.5,75.9,38.1,60,0,65.6,0,0,0,0,0,0,0,0,0,0,0,0,11.2,2.5,3.6,1.1,61.5,2.93,0.27,1.5,1.5,1.4,1.4,1.1,1.1,1.2,1.1,1,1,1,0.7,0.6,0,0,0,0,0,0,0,0,0,0
13,high,control,05-Sep-25,16-Sep-25,1,11,99.5,0.7,25,0.7,18.5,5,No,12.3,12.3,72.9,30.5,80.6,80.6,60.5,2.2,48.5,0,0,0,0,0,0,0,0,0,0,0,0,7.5,1.3,2.4,1.1,125.6,5.02,0.46,2.1,1.4,1.3,1.4,1,0.6,0.9,1,0.9,1,0.9,0.8,0.7,0.6,0.8,1.1,0,0,0,0,0,0,0
13,high,control,05-Sep-25,16-Sep-25,2,11,90.2,0.8,22.1,0.8,9,5,No,5,5,80.9,22.4,60.2,60.2,56,36.5,57.5,0,0,0,0,0,0,0,0,0,0,0,0,7.8,1.1,2.3,1.2,124.1,5.62,0.51,1.5,2,2.2,2.1,1.7,1.9,2.5,2.2,2,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,high,control,05-Sep-25,16-Sep-25,1,11,109.4,0.6,24.2,0.7,6.1,5,No,56.3,36.6,103.3,22.8,69.5,2.1,58.9,0.4,36.4,0,0,0,0,0,0,0,0,0,0,0,0,9,2.9,1.61,,61.9,2.56,0.23,1,1.7,2.2,2,2.5,2.1,2,1.6,1.8,1.7,1.8,1.7,0,0,0,0,0,0,0,0,0,0,0
14,high,control,05-Sep-25,16-Sep-25,3,11,111.7,0.8,25.4,0.6,14.3,5,No,71.2,50.5,97.7,33.1,80.5,2.7,44.4,0.1,52.1,0,0,0,0,0,0,0,0,0,9.6,0,0,10.1,2.2,1.49,,86.4,3.4,0.31,1.1,1.5,1.5,1.4,1.8,1.5,1.4,1.5,1.7,1.7,2.2,2.3,2.1,0,0,0,0,0,0,0,0,0,0
14,high,control,05-Sep-25,16-Sep-25,2,11,80.2,0.6,21.1,0.6,8.5,6,No,16.3,16.3,55.4,39.7,60.2,22.6,71.2,2.1,41.5,0.4,35.1,0,0,0,0,0,0,0,0,0,0,6.4,1,3.8,2.8,81.1,3.84,0.35,1.5,1.5,1.7,1.8,1.5,1.3,1.4,1.2,1.4,1.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0
15,high,exp,05-Sep-25,16-Sep-25,3,11,101.1,0.6,24.7,0.6,11.2,5,No,33.8,32.2,86.3,27.3,44.4,1,91.6,0,21.6,0,0,0,0,0,0,0,0,0,0,0,0,5.5,1,1.9,0.9,60.5,2.45,0.22,1.2,1,1.2,1.4,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,high,exp,05-Sep-25,16-Sep-25,2,11,94.7,0.6,25,0.5,12.8,5,No,17.2,17.2,82,47,54.9,13.2,4.25,0.8,26,0,0,0,0,0,0,0,0,0,0,0,0,5.4,1.2,,,78.2,3.13,0.28,1.1,1.2,1.2,1.2,1.3,1.5,1.1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,high,exp,05-Sep-25,16-Sep-25,4,11,111,0.7,24.9,0.7,6.3,5,No,36,36,90.1,44.1,104.4,12.8,90.4,0.8,58.1,0,0,0,0,0,0,0,0,0,0,0,0,9.9,1.2,2.8,1.6,93.7,3.76,0.34,1.4,1.6,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,high,exp,05-Sep-25,16-Sep-25,1,11,101,0.8,23.5,0.9,10.4,6,No,30.6,29.3,77.4,42.4,45.9,15.9,88,1.6,73,0.3,71.5,0,0,0,0,0,0,0,0,0,0,11.2,3,5,2,89.5,3.81,0.35,1.4,1.2,1.4,1.9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,low,control,05-Sep-25,16-Sep-25,4,11,48.2,0.5,13.1,0.5,5,5,No,18.6,18.6,32.6,26.7,42,7.7,41.5,0.7,37.3,0,0,0,0,0,0,0,0,0,3.5,0,0,3.4,1.2,1.8,0.6,53.7,4.1,0.37,0.7,1.1,1.1,1,1,1.2,1,1,0.6,0.8,0.6,0.8,1,0.8,0.6,1,1,10.8,0.5,0.3,0.3,0.3,0.6
16,low,control,05-Sep-25,16-Sep-25,3,11,72.5,0.6,16.2,0.6,7.8,5,No,16.2,16.2,46.8,31.5,64.5,22.2,62,2.6,29.3,0,0,0,0,0,0,0,0,0,2.6,0,0,4.5,1,1.77,0.77,72.5,4.48,0.41,1.4,1.7,1.9,2.1,1.8,2,1.9,2,1.9,2.1,1.9,2,0,0,0,0,0,0,0,0,0,0,0
16,low,control,05-Sep-25,16-Sep-25,1,11,67,0.8,16.8,0.8,6.8,6,No,4.4,4.4,19.4,19.4,14.2,14.2,61.3,5.3,59.6,2.5,53.3,0,0,0,0,0,0,0,0,0,0,7.9,3,4.2,1.2,45.8,2.73,0.25,1.8,2,1.8,2,2.8,2.6,2.4,1.9,1.7,1.8,1.6,1.4,1.1,1.2,1.4,1.6,1.1,0.9,0.7,0.8,0,0,0
16,low,control,05-Sep-25,16-Sep-25,2,11,63.6,0.7,15,0.6,5.9,6,No,8.3,8.3,35.2,32.2,59.4,31.9,58.7,9.7,56.8,1.3,37.8,0,0,0,0,0,0,0,0,0,0,5,1.1,2,0.9,83.4,5.56,0.51,1.6,1.7,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,high,control,05-Sep-25,16-Sep-25,1,11,104,0.8,9,0.7,8.5,6,No,61.1,37.5,97.5,15.3,91.5,1,79.5,0,72,0,0,0,0,0,0,0,0,0,15,0,0,9.5,NA,4.52,,53.8,5.98,0.54,1,1.5,1.6,1.5,2,2.5,2.5,2.5,2,2,2.3,2.5,0,0,0,0,0,0,0,0,0,0,0
18,high,exp,05-Sep-25,16-Sep-25,1,11,97.5,0.5,48.5,0.5,11,5,No,55.6,43,86.6,21,75,44,17.2,0,70.5,19,0,0,0,0,0,0,0,0,10.5,0,0,,,,,127,2.17,0.18,1,1,1,1,1,1,1,1,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
