"","plot","Treatment","Trt_density","sept_5_density1","sept_5_density_exp","sept_6_density","sept_6_quadrat","sept_6_zj","sept_6_macro","sept_6_detritus","sept_16_density","sept_16_macro","sept_16_detritus","sept_16_zj","Trt.comb","density_diff","shoot","growth_days","shoot_length","shoot_width","sheath_length","ref_length","no_blades","repro","lf1_full","lf1_new","lf2_full","lf2_new","lf3_full","lf3_new","lf4_full","lf4_new","lf5_full","lf5_new","lf6_full","lf6_new","lf7_full","lf7_new","lf8_full","lf8_new","lf9_full","lf9_new","bblf_1","bblf_2","bblf_3","shoot_wet_wt","foil_wt","shoot_dry_wt","shoot_biomass","internode1","internode2","internode3","internode4","internode5","internode6","internode7","internode8","internode9","internode10","internode11","internode12","internode13","internode14","internode15","internode16","internode17","internode18","internode19","internode20","internode21","internode22","internode23","bblf_count","no_leaves","no_rhiz_int","Total_extension"
"26","12","high","exp",100,90,78,29,0,0,6,119,0,50,0,"exp_high",41,1,11,58,0.5,11.5,0.3,3,"No",33.7,33.3,58,29.5,52.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.7,2.1,1.4,1.5,1.5,1.5,1.5,1.5,1.7,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,65.1
"27","12","high","exp",100,90,78,29,0,0,6,119,0,50,0,"exp_high",41,2,11,73.5,0.6,15.5,14.8,5,"No",21,21,70.2,22.8,56.2,40,65.2,38,65.2,0,0,0,0,0,0,0,0,0,0,0,0,7.4,1.2,2.2,1,2,1.5,2,2,1.5,1.5,1.5,1.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,136.6
"28","13","high","control",160,160,NA,NA,NA,NA,NA,57,4,18,1,"control_high",NA,3,11,88.2,0.7,21,7.1,4,"No",13.9,13.9,81.1,9.5,75.9,38.1,60,0,65.6,0,0,0,0,0,0,0,0,0,0,0,0,11.2,2.5,3.6,1.1,1.5,1.5,1.4,1.4,1.1,1.1,1.2,1.1,1,1,1,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,5,13,68.6
"29","13","high","control",160,160,NA,NA,NA,NA,NA,57,4,18,1,"control_high",NA,1,11,99.5,0.7,25,18.5,5,"No",12.3,12.3,72.9,30.5,80.6,80.6,60.5,2.2,48.5,0,0,0,0,0,0,0,0,0,0,0,0,7.5,1.3,2.4,1.1,2.1,1.4,1.3,1.4,1,0.6,0.9,1,0.9,1,0.9,0.8,0.7,0.6,0.8,1.1,0,0,0,0,0,0,0,0,5,16,144.1
"30","13","high","control",160,160,NA,NA,NA,NA,NA,57,4,18,1,"control_high",NA,2,11,90.2,0.8,22.1,9,5,"No",5,5,80.9,22.4,60.2,60.2,56,36.5,57.5,0,0,0,0,0,0,0,0,0,0,0,0,7.8,1.1,2.3,1.2,1.5,2,2.2,2.1,1.7,1.9,2.5,2.2,2,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,133.1
"31","14","high","control",146,146,112,43,0,0,5,77,0,0,0,"control_high",-35,1,11,109.4,0.6,24.2,6.1,5,"No",56.3,36.6,103.3,22.8,69.5,2.1,58.9,0.4,36.4,0,0,0,0,0,0,0,0,0,0,0,0,9,2.9,1.61,0,1,1.7,2.2,2,2.5,2.1,2,1.6,1.8,1.7,1.8,1.7,0,0,0,0,0,0,0,0,0,0,0,0,5,12,68
"32","14","high","control",146,146,112,43,0,0,5,77,0,0,0,"control_high",-35,3,11,111.7,0.8,25.4,14.3,5,"No",71.2,50.5,97.7,33.1,80.5,2.7,44.4,0.1,52.1,0,0,0,0,0,0,0,0,0,9.6,0,0,10.1,2.2,1.49,0,1.1,1.5,1.5,1.4,1.8,1.5,1.4,1.5,1.7,1.7,2.2,2.3,2.1,0,0,0,0,0,0,0,0,0,0,1,5,13,110.3
"33","14","high","control",146,146,112,43,0,0,5,77,0,0,0,"control_high",-35,2,11,80.2,0.6,21.1,8.5,6,"No",16.3,16.3,55.4,39.7,60.2,22.6,71.2,2.1,41.5,0.4,35.1,0,0,0,0,0,0,0,0,0,0,6.4,1,3.8,2.8,1.5,1.5,1.7,1.8,1.5,1.3,1.4,1.2,1.4,1.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,89.6
"34","15","high","exp",146,90,54,18,0,5,2,68,0,0,0,"exp_high",14,3,11,101.1,0.6,24.7,11.2,5,"No",33.8,32.2,86.3,27.3,44.4,1,91.6,0,21.6,0,0,0,0,0,0,0,0,0,0,0,0,5.5,1,1.9,0.9,1.2,1,1.2,1.4,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,71.7
"35","15","high","exp",146,90,54,18,0,5,2,68,0,0,0,"exp_high",14,2,11,94.7,0.6,25,12.8,5,"No",17.2,17.2,82,47,54.9,13.2,4.25,0.8,26,0,0,0,0,0,0,0,0,0,0,0,0,5.4,1.2,0,0,1.1,1.2,1.2,1.2,1.3,1.5,1.1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,91
